=== Q05 [INNER JOIN] 취소되지 않은 주문에 좌석 번호와 메뉴 정보를 결합한다. ===

SQL
-- [Q05][INNER JOIN] 취소되지 않은 주문에 좌석 번호와 메뉴 정보를 결합한다.
SELECT t.table_number, m.name AS menu_name, o.quantity, o.status, o.order_time
FROM orders o
INNER JOIN store_tables t ON o.table_id = t.id
INNER JOIN menus m ON o.menu_id = m.id
WHERE o.status != 'CANCELLED'
ORDER BY o.order_time;

RESULT
table_number	menu_name	quantity	status	order_time
-----------------------------------------------------------------
3	한우 곱창 전골	1	SERVED	2026-06-24 18:10:00
3	참이슬 후레쉬	2	SERVED	2026-06-24 18:11:00
3	테라 생맥주 500ml	1	SERVED	2026-06-24 18:11:30
4	차돌 떡볶이	1	SERVED	2026-06-24 18:15:00
4	참치 마요 주먹밥	1	SERVED	2026-06-24 18:15:20
4	제로 콜라	2	SERVED	2026-06-24 18:16:00
7	모둠 수제 꼬치	1	SERVED	2026-06-24 18:25:00
7	화요 25	1	SERVED	2026-06-24 18:26:00
7	바삭 감자전	1	SERVED	2026-06-24 18:40:00
1	매콤 철판 쭈꾸미	1	SERVED	2026-06-24 19:00:00
1	산토리 얼그레이 하이볼	2	SERVED	2026-06-24 19:02:00
5	한우 곱창 전골	1	SERVED	2026-06-24 19:15:00
5	참이슬 후레쉬	3	SERVED	2026-06-24 19:16:00
5	해물 라면	1	SERVED	2026-06-24 19:45:00
8	해물 파전	1	SERVED	2026-06-24 20:00:00
8	테라 생맥주 500ml	4	SERVED	2026-06-24 20:01:00
3	파인애플 샤베트	1	SERVED	2026-06-24 20:10:00
10	치즈 계란말이	1	COOKING	2026-06-24 20:15:00
10	참이슬 후레쉬	1	SERVED	2026-06-24 20:15:10
6	차돌 떡볶이	1	COOKING	2026-06-24 20:20:00
6	참치 마요 주먹밥	2	COOKING	2026-06-24 20:21:00
9	한우 곱창 전골	2	COOKING	2026-06-24 20:30:00
9	모둠 수제 꼬치	2	COOKING	2026-06-24 20:31:00
9	참이슬 후레쉬	6	SERVED	2026-06-24 20:32:00
